year,total,region,type,population,providerRate,percentFemale,percentAge,percentUnderrepresented
2000,23,Area L,ahec,296296,0.78,0.087,0,0
2001,22,Area L,ahec,296584,0.74,0.0909,0,0
2002,27,Area L,ahec,298557,0.9,0.2222,0.037,0
2003,24,Area L,ahec,300530,0.8,0.1667,0,0
2004,23,Area L,ahec,299402,0.77,0.2174,0,0
2005,24,Area L,ahec,299977,0.8,0.2083,0,0
2006,25,Area L,ahec,299459,0.83,0.2,0,0
2007,27,Area L,ahec,299285,0.9,0.2222,0,0
2008,24,Area L,ahec,301094,0.8,0.25,0,0
2009,22,Area L,ahec,303354,0.73,0.1818,0,0
2010,25,Area L,ahec,311268,0.8,0.16,0,0
2011,26,Area L,ahec,309832,0.84,0.1923,0.0385,0
2012,29,Area L,ahec,309165,0.94,0.2069,0.0345,0
2013,29,Area L,ahec,306794,0.95,0.2069,0.0345,0
2014,28,Area L,ahec,305841,0.92,0.2143,0.0357,0
2015,30,Area L,ahec,303922,0.99,0.2,0.0333,0
2016,26,Area L,ahec,302629,0.86,0.2308,0.0385,0
2017,25,Area L,ahec,301780,0.83,0.24,0.04,0
2000,244,Charlotte,ahec,1384001,1.76,0.2213,0.041,0.0205
2001,247,Charlotte,ahec,1419589,1.74,0.2186,0.0445,0.0202
2002,291,Charlotte,ahec,1452485,2,0.2371,0.0309,0.0241
2003,296,Charlotte,ahec,1485382,1.99,0.2399,0.027,0.0236
2004,315,Charlotte,ahec,1510434,2.09,0.254,0.0286,0.019
2005,325,Charlotte,ahec,1539732,2.11,0.2523,0.0308,0.0123
2006,340,Charlotte,ahec,1605915,2.12,0.25,0.0265,0.0118
2007,365,Charlotte,ahec,1665257,2.19,0.274,0.0247,0.011
2008,385,Charlotte,ahec,1701378,2.26,0.2727,0.0364,0.0104
2009,405,Charlotte,ahec,1732010,2.34,0.279,0.0346,0.0099
2010,418,Charlotte,ahec,1776565,2.35,0.299,0.0335,0.0144
2011,415,Charlotte,ahec,1799166,2.31,0.2867,0.0337,0.0193
2012,430,Charlotte,ahec,1827256,2.35,0.2953,0.0349,0.0233
2013,429,Charlotte,ahec,1863538,2.3,0.289,0.0396,0.0233
2014,421,Charlotte,ahec,1896573,2.22,0.2874,0.0428,0.0285
2015,429,Charlotte,ahec,1930604,2.22,0.3007,0.0443,0.028
2016,442,Charlotte,ahec,1961268,2.25,0.31,0.0475,0.0271
2017,461,Charlotte,ahec,1999372,2.31,0.308,0.0477,0.0195
2000,83,Eastern,ahec,913210,0.91,0.1084,0.0964,0
2001,89,Eastern,ahec,914567,0.97,0.1011,0.0899,0
2002,98,Eastern,ahec,923021,1.06,0.102,0.0816,0
2003,101,Eastern,ahec,931473,1.08,0.1188,0.0693,0
2004,98,Eastern,ahec,947271,1.03,0.1224,0.0408,0
2005,97,Eastern,ahec,957168,1.01,0.1237,0.0515,0
2006,104,Eastern,ahec,967485,1.07,0.1346,0.0481,0
2007,113,Eastern,ahec,1002600,1.13,0.1593,0.0442,0.0088
2008,110,Eastern,ahec,995121,1.11,0.1636,0.0364,0.0091
2009,110,Eastern,ahec,1007683,1.09,0.1636,0.0364,0.0091
2010,112,Eastern,ahec,1035493,1.08,0.1607,0.0357,0.0089
2011,113,Eastern,ahec,1044211,1.08,0.1593,0.0177,0
2012,115,Eastern,ahec,1055120,1.09,0.1913,0.0261,0
2013,115,Eastern,ahec,1059704,1.09,0.1913,0.0261,0
2014,117,Eastern,ahec,1060701,1.1,0.1966,0.0256,0
2015,119,Eastern,ahec,1062244,1.12,0.1933,0.0504,0
2016,117,Eastern,ahec,1061127,1.1,0.1966,0.0427,0
2017,126,Eastern,ahec,1064705,1.18,0.2222,0.0714,0
2000,108,Greensboro,ahec,992109,1.09,0.2037,0.037,0.0093
2001,108,Greensboro,ahec,1004145,1.08,0.213,0.037,0.0185
2002,130,Greensboro,ahec,1022139,1.27,0.2154,0.0462,0.0231
2003,129,Greensboro,ahec,1040135,1.24,0.2093,0.0465,0.0233
2004,130,Greensboro,ahec,1037038,1.25,0.2538,0.0462,0.0308
