"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2000,84,"Area L","ahec",296296,2.84,0.8571,0,0.2024
2001,82,"Area L","ahec",296584,2.76,0.8293,0,0.2195
2002,95,"Area L","ahec",298557,3.18,0.8737,0,0.2105
2003,98,"Area L","ahec",300530,3.26,0.8571,0,0.1837
2004,104,"Area L","ahec",299402,3.47,0.8365,0,0.1827
2005,101,"Area L","ahec",299977,3.37,0.8416,0,0.2079
2006,104,"Area L","ahec",299459,3.47,0.8558,0,0.2019
2007,111,"Area L","ahec",299285,3.71,0.8649,0,0.1892
2008,112,"Area L","ahec",301094,3.72,0.8661,0,0.1964
2009,116,"Area L","ahec",303354,3.82,0.8707,0.0086,0.1897
2010,120,"Area L","ahec",311268,3.86,0.8667,0.0083,0.2
2011,125,"Area L","ahec",309832,4.03,0.848,0.008,0.224
2012,123,"Area L","ahec",309165,3.98,0.8699,0.0244,0.2195
2013,124,"Area L","ahec",306794,4.04,0.8629,0.0323,0.2258
2014,126,"Area L","ahec",305841,4.12,0.881,0.0159,0.2063
2015,132,"Area L","ahec",303922,4.34,0.8485,0.0455,0.2045
2016,142,"Area L","ahec",302629,4.69,0.8169,0.0493,0.1901
2017,139,"Area L","ahec",301780,4.61,0.8345,0.0216,0.1511
2000,327,"Charlotte","ahec",1384001,2.36,0.8899,0.0061,0.0856
2001,335,"Charlotte","ahec",1419589,2.36,0.8776,0.009,0.0836
2002,339,"Charlotte","ahec",1452485,2.33,0.8643,0.0059,0.1121
2003,349,"Charlotte","ahec",1485382,2.35,0.8539,0.0086,0.1003
2004,351,"Charlotte","ahec",1510434,2.32,0.8462,0.0085,0.1054
2005,371,"Charlotte","ahec",1539732,2.41,0.8571,0.0081,0.1051
2006,404,"Charlotte","ahec",1605915,2.52,0.854,0.0099,0.1064
2007,404,"Charlotte","ahec",1665257,2.43,0.8391,0.0074,0.1337
2008,442,"Charlotte","ahec",1701378,2.6,0.8213,0.0068,0.1448
2009,424,"Charlotte","ahec",1732010,2.45,0.8278,0.0047,0.1439
2010,433,"Charlotte","ahec",1776565,2.44,0.8383,0.0046,0.1386
2011,473,"Charlotte","ahec",1799166,2.63,0.8182,0.0063,0.1353
2012,465,"Charlotte","ahec",1827256,2.54,0.8172,0.0043,0.1333
2013,479,"Charlotte","ahec",1863538,2.57,0.8163,0.0104,0.1336
2014,517,"Charlotte","ahec",1896573,2.73,0.8143,0.0174,0.1451
2015,520,"Charlotte","ahec",1930604,2.69,0.8019,0.0231,0.1365
2016,536,"Charlotte","ahec",1961268,2.73,0.7873,0.0187,0.1325
2017,544,"Charlotte","ahec",1999372,2.72,0.7996,0.0165,0.1415
2000,190,"Eastern","ahec",913210,2.08,0.8263,0,0.0947
2001,205,"Eastern","ahec",914567,2.24,0.8,0,0.0878
2002,191,"Eastern","ahec",923021,2.07,0.8115,0,0.0785
2003,196,"Eastern","ahec",931473,2.1,0.8265,0,0.0612
2004,199,"Eastern","ahec",947271,2.1,0.8342,0,0.0603
2005,211,"Eastern","ahec",957168,2.2,0.8483,0.0047,0.0569
2006,219,"Eastern","ahec",967485,2.26,0.863,0.0046,0.0685
2007,228,"Eastern","ahec",1002600,2.27,0.8596,0,0.0614
2008,250,"Eastern","ahec",995121,2.51,0.856,0,0.08
2009,257,"Eastern","ahec",1007683,2.55,0.856,0,0.0817
2010,269,"Eastern","ahec",1035493,2.6,0.8625,0,0.0743
2011,276,"Eastern","ahec",1044211,2.64,0.8587,0.0036,0.0833
2012,285,"Eastern","ahec",1055120,2.7,0.8526,0,0.0807
2013,280,"Eastern","ahec",1059704,2.64,0.8571,0,0.0786
2014,287,"Eastern","ahec",1060701,2.71,0.8571,0.0035,0.0767
2015,307,"Eastern","ahec",1062244,2.89,0.8632,0.0098,0.0749
2016,331,"Eastern","ahec",1061127,3.12,0.8701,0.0121,0.0876
2017,375,"Eastern","ahec",1064705,3.52,0.8427,0.0187,0.0907
2000,102,"Greensboro","ahec",992109,1.03,0.7451,0,0.1078
2001,114,"Greensboro","ahec",1004145,1.14,0.7281,0,0.0789
2002,115,"Greensboro","ahec",1022139,1.13,0.6957,0,0.0957
2003,128,"Greensboro","ahec",1040135,1.23,0.6953,0,0.0781
2004,143,"Greensboro","ahec",1037038,1.38,0.7133,0,0.0769
2005,147,"Greensboro","ahec",1036988,1.42,0.7211,0.0068,0.0952
2006,151,"Greensboro","ahec",1051795,1.44,0.702,0.0066,0.1126
2007,172,"Greensboro","ahec",1072610,1.6,0.7151,0.0174,0.1105
2008,191,"Greensboro","ahec",1088392,1.75,0.7068,0.0157,0.1047
2009,201,"Greensboro","ahec",1105017,1.82,0.6816,0.005,0.1095
2010,205,"Greensboro","ahec",1127674,1.82,0.6927,0.0049,0.1073
2011,216,"Greensboro","ahec",1136068,1.9,0.6991,0,0.0926
2012,237,"Greensboro","ahec",1147212,2.07,0.6835,0.0042,0.0928
2013,243,"Greensboro","ahec",1154755,2.1,0.6872,0.0041,0.1029
2014,244,"Greensboro","ahec",1163764,2.1,0.7049,0.0041,0.0984
2015,255,"Greensboro","ahec",1173064,2.17,0.6863,0.0078,0.0784
2016,272,"Greensboro","ahec",1180482,2.3,0.6838,0.0147,0.0809
2017,277,"Greensboro","ahec",1190264,2.33,0.657,0.0217,0.0903
2000,171,"Mountain","ahec",672306,2.54,0.7602,0.0117,0.0175
2001,190,"Mountain","ahec",681837,2.79,0.7684,0.0105,0.0105
2002,199,"Mountain","ahec",692197,2.87,0.7739,0.0101,0.0302
2003,196,"Mountain","ahec",702555,2.79,0.7959,0.0102,0.0204
2004,215,"Mountain","ahec",703634,3.06,0.7814,0.0093,0.0093
2005,229,"Mountain","ahec",709033,3.23,0.7991,0.0131,0.0044
2006,243,"Mountain","ahec",717342,3.39,0.7819,0.0041,0.0082
2007,243,"Mountain","ahec",706233,3.44,0.7819,0.0041,0.0082
2008,275,"Mountain","ahec",732921,3.75,0.7891,0.0036,0.0291
2009,286,"Mountain","ahec",739965,3.87,0.7797,0.007,0.028
2010,309,"Mountain","ahec",761986,4.06,0.7702,0.0065,0.0259
2011,323,"Mountain","ahec",770362,4.19,0.7554,0.0155,0.0248
2012,331,"Mountain","ahec",769642,4.3,0.7492,0.0151,0.0211
2013,353,"Mountain","ahec",776064,4.55,0.7507,0.017,0.0227
2014,362,"Mountain","ahec",781867,4.63,0.7541,0.0138,0.0221
2015,376,"Mountain","ahec",789383,4.76,0.7473,0.0213,0.0293
2016,408,"Mountain","ahec",799550,5.1,0.7402,0.0196,0.0343
2017,430,"Mountain","ahec",807857,5.32,0.7209,0.0349,0.0326
2000,265,"Northwest","ahec",1395832,1.9,0.8566,0,0.0453
2001,287,"Northwest","ahec",1416307,2.03,0.8467,0,0.0314
2002,299,"Northwest","ahec",1437391,2.08,0.8629,0,0.0234
2003,306,"Northwest","ahec",1458480,2.1,0.8595,0.0033,0.0327
2004,327,"Northwest","ahec",1459487,2.24,0.8532,0,0.0275
2005,359,"Northwest","ahec",1464768,2.45,0.8329,0.0028,0.0362
2006,361,"Northwest","ahec",1484611,2.43,0.8338,0,0.0388
2007,372,"Northwest","ahec",1504826,2.47,0.828,0,0.043
2008,410,"Northwest","ahec",1524295,2.69,0.8244,0,0.0439
2009,434,"Northwest","ahec",1546737,2.81,0.8018,0.0023,0.0484
2010,452,"Northwest","ahec",1558340,2.9,0.7965,0.0044,0.0398
2011,457,"Northwest","ahec",1563589,2.92,0.7856,0.0022,0.0525
2012,472,"Northwest","ahec",1566740,3.01,0.7839,0.0021,0.0487
2013,478,"Northwest","ahec",1571258,3.04,0.7824,0.0105,0.0481
2014,491,"Northwest","ahec",1579059,3.11,0.7739,0.0122,0.0428
2015,521,"Northwest","ahec",1586703,3.28,0.7754,0.0173,0.0518
2016,556,"Northwest","ahec",1598199,3.48,0.7608,0.027,0.054
2017,576,"Northwest","ahec",1610400,3.58,0.7378,0.0243,0.0538
2000,73,"South East","ahec",378344,1.93,0.7397,0.0411,0.0548
2001,76,"South East","ahec",387182,1.96,0.7895,0.0395,0.0658
