"year","total","region","type","population","providerRate"
2011,4,"Area L","ahec",309832,0.13
2012,1,"Area L","ahec",309165,0.03
2013,2,"Area L","ahec",306794,0.07
2014,3,"Area L","ahec",305841,0.1
2015,3,"Area L","ahec",303922,0.1
2016,4,"Area L","ahec",302629,0.13
2017,3,"Area L","ahec",301780,0.1
2011,35,"Charlotte","ahec",1799166,0.19
2012,40,"Charlotte","ahec",1827256,0.22
2013,62,"Charlotte","ahec",1863538,0.33
2014,59,"Charlotte","ahec",1896573,0.31
2015,68,"Charlotte","ahec",1930604,0.35
2016,57,"Charlotte","ahec",1961268,0.29
2017,55,"Charlotte","ahec",1999372,0.28
2011,7,"Eastern","ahec",1044211,0.07
2012,9,"Eastern","ahec",1055120,0.09
2013,12,"Eastern","ahec",1059704,0.11
2014,14,"Eastern","ahec",1060701,0.13
2015,14,"Eastern","ahec",1062244,0.13
2016,13,"Eastern","ahec",1061127,0.12
2017,16,"Eastern","ahec",1064705,0.15
2011,30,"Greensboro","ahec",1136068,0.26
2012,37,"Greensboro","ahec",1147212,0.32
2013,40,"Greensboro","ahec",1154755,0.35
2014,37,"Greensboro","ahec",1163764,0.32
2015,30,"Greensboro","ahec",1173064,0.26
2016,39,"Greensboro","ahec",1180482,0.33
2017,33,"Greensboro","ahec",1190264,0.28
2011,23,"Mountain","ahec",770362,0.3
2012,31,"Mountain","ahec",769642,0.4
2013,33,"Mountain","ahec",776064,0.43
2014,35,"Mountain","ahec",781867,0.45
2015,32,"Mountain","ahec",789383,0.41
2016,31,"Mountain","ahec",799550,0.39
2017,30,"Mountain","ahec",807857,0.37
2011,9,"Northwest","ahec",1563589,0.06
2012,18,"Northwest","ahec",1566740,0.11
2013,33,"Northwest","ahec",1571258,0.21
2014,32,"Northwest","ahec",1579059,0.2
2015,36,"Northwest","ahec",1586703,0.23
2016,28,"Northwest","ahec",1598199,0.18
2017,31,"Northwest","ahec",1610400,0.19
2011,4,"South East","ahec",487484,0.08
2012,3,"South East","ahec",494872,0.06
2013,6,"South East","ahec",502936,0.12
2014,9,"South East","ahec",509080,0.18
2015,8,"South East","ahec",518781,0.15
2016,8,"South East","ahec",527596,0.15
2017,12,"South East","ahec",536440,0.22
2011,3,"Southern Regional","ahec",900751,0.03
2012,5,"Southern Regional","ahec",909169,0.05
2013,13,"Southern Regional","ahec",914274,0.14
2014,12,"Southern Regional","ahec",913874,0.13
2015,6,"Southern Regional","ahec",915808,0.07
2016,10,"Southern Regional","ahec",918447,0.11
2017,6,"Southern Regional","ahec",921525,0.07
2011,30,"Wake AHEC","ahec",1657781,0.18
2012,46,"Wake AHEC","ahec",1686053,0.27
2013,58,"Wake AHEC","ahec",1712629,0.34
2014,48,"Wake AHEC","ahec",1742928,0.28
2015,46,"Wake AHEC","ahec",1776174,0.26
2016,53,"Wake AHEC","ahec",1806644,0.29
2017,45,"Wake AHEC","ahec",1840349,0.24
2011,2,"Alamance","county",152531,0.13
2012,2,"Alamance","county",153029,0.13
2013,2,"Alamance","county",153595,0.13
2014,1,"Alamance","county",155789,0.06
2015,1,"Alamance","county",157522,0.06
2016,2,"Alamance","county",159054,0.13
2017,1,"Alamance","county",161076,0.06
2011,0,"Alexander","county",37528,0
2012,0,"Alexander","county",37389,0
2013,0,"Alexander","county",37436,0
2014,1,"Alexander","county",37832,0.26
2015,0,"Alexander","county",37952,0
2016,0,"Alexander","county",38284,0
2017,0,"Alexander","county",38452,0
2011,0,"Alleghany","county",11069,0
2012,0,"Alleghany","county",10971,0
2013,0,"Alleghany","county",11052,0
2014,0,"Alleghany","county",11099,0
2015,0,"Alleghany","county",11190,0
2016,0,"Alleghany","county",11202,0
2017,0,"Alleghany","county",11233,0
2011,0,"Anson","county",25822,0
2012,0,"Anson","county",26626,0
2013,0,"Anson","county",26318,0
2014,0,"Anson","county",26468,0
2015,0,"Anson","county",26155,0
2016,0,"Anson","county",25628,0
2017,0,"Anson","county",25626,0
2011,0,"Ashe","county",27423,0
