"year","total","region","type","population","providerRate","percentFemale","percentAge"
2000,7,"Area L","ahec",296296,0.24,0,0
2001,8,"Area L","ahec",296584,0.27,0.125,0
2002,6,"Area L","ahec",298557,0.2,0.1667,0
2003,6,"Area L","ahec",300530,0.2,0.1667,0
2004,8,"Area L","ahec",299402,0.27,0.125,0
2005,7,"Area L","ahec",299977,0.23,0.1429,0
2006,7,"Area L","ahec",299459,0.23,0.1429,0
2007,6,"Area L","ahec",299285,0.2,0.1667,0
2008,7,"Area L","ahec",301094,0.23,0.1429,0
2009,6,"Area L","ahec",303354,0.2,0.1667,0.1667
2010,6,"Area L","ahec",311268,0.19,0.1667,0.1667
2011,6,"Area L","ahec",309832,0.19,0.1667,0.1667
2012,7,"Area L","ahec",309165,0.23,0.2857,0.1429
2013,6,"Area L","ahec",306794,0.2,0.3333,0.1667
2014,6,"Area L","ahec",305841,0.2,0.3333,0.1667
2015,6,"Area L","ahec",303922,0.2,0.3333,0.1667
2016,7,"Area L","ahec",302629,0.23,0.2857,0.1429
2017,6,"Area L","ahec",301780,0.2,0.3333,0
2000,40,"Charlotte","ahec",1384001,0.29,0.1,0.025
2001,41,"Charlotte","ahec",1419589,0.29,0.0732,0.0244
2002,41,"Charlotte","ahec",1452485,0.28,0.0976,0.0244
2003,43,"Charlotte","ahec",1485382,0.29,0.093,0.0233
2004,43,"Charlotte","ahec",1510434,0.28,0.1395,0.0233
2005,45,"Charlotte","ahec",1539732,0.29,0.1111,0.0222
2006,47,"Charlotte","ahec",1605915,0.29,0.1277,0.0213
2007,45,"Charlotte","ahec",1665257,0.27,0.1556,0.0222
2008,48,"Charlotte","ahec",1701378,0.28,0.1667,0.0417
2009,47,"Charlotte","ahec",1732010,0.27,0.1702,0.0213
2010,48,"Charlotte","ahec",1776565,0.27,0.2083,0.0208
2011,50,"Charlotte","ahec",1799166,0.28,0.2,0.04
2012,48,"Charlotte","ahec",1827256,0.26,0.1875,0.0208
2013,48,"Charlotte","ahec",1863538,0.26,0.2083,0.0208
2014,48,"Charlotte","ahec",1896573,0.25,0.2083,0.0208
2015,49,"Charlotte","ahec",1930604,0.25,0.2245,0.0408
2016,47,"Charlotte","ahec",1961268,0.24,0.1702,0.0638
2017,48,"Charlotte","ahec",1999372,0.24,0.2292,0.0833
2000,26,"Eastern","ahec",913210,0.28,0.1923,0
2001,30,"Eastern","ahec",914567,0.33,0.2,0
2002,31,"Eastern","ahec",923021,0.34,0.2258,0.0323
2003,28,"Eastern","ahec",931473,0.3,0.25,0.0357
2004,32,"Eastern","ahec",947271,0.34,0.2188,0.0313
2005,30,"Eastern","ahec",957168,0.31,0.2,0.0333
2006,32,"Eastern","ahec",967485,0.33,0.1875,0.0313
2007,37,"Eastern","ahec",1002600,0.37,0.2162,0.027
2008,40,"Eastern","ahec",995121,0.4,0.25,0.025
2009,29,"Eastern","ahec",1007683,0.29,0.2759,0
2010,28,"Eastern","ahec",1035493,0.27,0.25,0
2011,29,"Eastern","ahec",1044211,0.28,0.2759,0
2012,29,"Eastern","ahec",1055120,0.27,0.2759,0
2013,31,"Eastern","ahec",1059704,0.29,0.2903,0
2014,32,"Eastern","ahec",1060701,0.3,0.2813,0.0313
2015,33,"Eastern","ahec",1062244,0.31,0.2727,0.0303
2016,33,"Eastern","ahec",1061127,0.31,0.2727,0.0606
2017,34,"Eastern","ahec",1064705,0.32,0.2647,0.0882
2000,25,"Greensboro","ahec",992109,0.25,0.16,0.08
2001,27,"Greensboro","ahec",1004145,0.27,0.1852,0.1111
2002,28,"Greensboro","ahec",1022139,0.27,0.1786,0.0714
2003,30,"Greensboro","ahec",1040135,0.29,0.2667,0.0667
2004,32,"Greensboro","ahec",1037038,0.31,0.2188,0.0625
2005,31,"Greensboro","ahec",1036988,0.3,0.2258,0.0968
2006,31,"Greensboro","ahec",1051795,0.29,0.2258,0.0968
2007,29,"Greensboro","ahec",1072610,0.27,0.2414,0.069
2008,31,"Greensboro","ahec",1088392,0.28,0.2258,0.0645
2009,31,"Greensboro","ahec",1105017,0.28,0.2581,0.0323
2010,33,"Greensboro","ahec",1127674,0.29,0.2424,0.0606
